datetime,open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2017-08-17 04:00:00+00:00,1502942400000,301.13,307.96,298.0,307.96,1561.95305,1502956799999,473487.6651185,711,1260.38649,382097.1599312,46884.54339102
2017-08-17 08:00:00+00:00,1502956800000,307.95,312.0,307.0,308.95,1177.71088,1502971199999,364545.3164015,775,1093.84885,338587.6026837,46866.63079951
2017-08-17 12:00:00+00:00,1502971200000,308.95,310.51,303.56,307.06,1882.05267,1502985599999,578644.9318904,1140,1742.14642,535627.1400191,47528.18909052
2017-08-17 16:00:00+00:00,1502985600000,307.74,312.18,298.21,301.6,1208.05192,1502999999999,370209.0514672,957,1097.3202,336546.1797821,48886.75337014
2017-08-17 20:00:00+00:00,1503000000000,301.6,310.85,299.01,302.0,1200.94182,1503014399999,367768.335479,939,1030.88803,315847.2861141,50579.87228839
2017-08-18 00:00:00+00:00,1503014400000,302.0,306.47,295.19,301.4,1690.58319,1503028799999,510684.0659218,959,1276.3514,385103.528375,51205.10800759
2017-08-18 04:00:00+00:00,1503028800000,301.4,309.49,298.41,306.24,1732.52616,1503043199999,527110.6080895,1068,1577.05641,479995.2791787,52708.21645626
2017-08-18 08:00:00+00:00,1503043200000,306.24,311.79,303.22,307.78,1213.01283,1503057599999,372912.0009906,884,1065.02428,327373.385146,53419.3835411
2017-08-18 12:00:00+00:00,1503057600000,307.78,310.29,296.32,298.8,1358.99471,1503071999999,412203.7088943,882,1163.6982,352905.7999398,54157.36861102
2017-08-18 16:00:00+00:00,1503072000000,298.8,301.11,287.37,293.83,1620.71499,1503086399999,478865.9114307,885,1303.10778,385949.5609436,55038.10651699
2017-08-18 20:00:00+00:00,1503086400000,295.46,295.46,283.94,293.96,1922.01458,1503100799999,557170.214027,980,1067.19735,309485.7076433,55329.57432378
2017-08-19 00:00:00+00:00,1503100800000,293.31,299.84,292.83,293.22,282.19297,1503115199999,83456.3423327,338,181.1672,53611.7836624,55410.13905317
2017-08-19 04:00:00+00:00,1503115200000,294.69,299.9,287.01,290.16,235.2921,1503129599999,68687.5957874,235,153.12521,44687.2433792,54680.77887682
2017-08-19 08:00:00+00:00,1503129600000,290.16,293.17,278.0,282.58,1139.03045,1503143999999,327267.7431853,686,886.04998,255176.2737893,57773.45482767
2017-08-19 12:00:00+00:00,1503144000000,281.39,290.85,279.56,288.64,288.29994,1503158399999,82074.2629431,268,195.36225,55607.7537388,57651.86498228
2017-08-19 16:00:00+00:00,1503158400000,288.64,295.0,284.16,293.31,127.38589,1503172799999,36930.9498645,166,82.05025,23868.0686511,58020.26884135
